Date,Data-name,href
"३१ श्रावण २०७९, मंगलवार ०१:२३","जग्गाकाे स्वामित्व, दर्ता श्रेस्ता, फिल्डबुक प्रमाणित लगायतका विषयमा निवेदन दिने सम्बन्धी ३५ दिने सूचना￼",https://nlc.gov.np/%e0%a4%9c%e0%a4%97%e0%a5%8d%e0%a4%97%e0%a4%be%e0%a4%95%e0%a4%be%e0%a5%87-%e0%a4%b8%e0%a5%8d%e0%a4%b5%e0%a4%be%e0%a4%ae%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%b5-%e0%a4%a6%e0%a4%b0%e0%a5%8d%e0%a4%a4/
"२० श्रावण २०७९, शुक्रबार ०१:१८",विवरण पठाउने सम्बन्धमा ।,https://nlc.gov.np/%e0%a4%b5%e0%a4%bf%e0%a4%b5%e0%a4%b0%e0%a4%a3-%e0%a4%aa%e0%a4%a0%e0%a4%be%e0%a4%89%e0%a4%a8%e0%a5%87-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7%e0%a4%ae%e0%a4%be-%e0%a5%a4/
"८ श्रावण २०७९, आईतवार ०१:१६",सम्पत्ति विवरण पेस गर्ने सम्बन्धमा,https://nlc.gov.np/%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%aa%e0%a4%a4%e0%a5%8d%e0%a4%a4%e0%a4%bf-%e0%a4%b5%e0%a4%bf%e0%a4%b5%e0%a4%b0%e0%a4%a3-%e0%a4%aa%e0%a5%87%e0%a4%b8-%e0%a4%97%e0%a4%b0%e0%a5%8d%e0%a4%a8%e0%a5%87/
"३० असार २०७९, बिहीबार १६:३३",अन्तर्वार्ता सम्बन्धि सूचना,https://nlc.gov.np/%e0%a4%85%e0%a4%a8%e0%a5%8d%e0%a4%a4%e0%a4%b0%e0%a5%8d%e0%a4%b5%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%be-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7%e0%a4%bf-%e0%a4%b8%e0%a5%82/
"१ असार २०७९, बुधबार १६:४३",सिलबन्दी दरभाउपत्र आव्हानको सूचना,https://nlc.gov.np/%e0%a4%b8%e0%a4%bf%e0%a4%b2%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a6%e0%a5%80-%e0%a4%a6%e0%a4%b0%e0%a4%ad%e0%a4%be%e0%a4%89%e0%a4%aa%e0%a4%a4%e0%a5%8d%e0%a4%b0-%e0%a4%86%e0%a4%b5%e0%a5%8d%e0%a4%b9%e0%a4%be/
"२६ जेष्ठ २०७९, बिहीबार १६:३६",नतिजा प्रकाशनको सूचना,https://nlc.gov.np/%e0%a4%a8%e0%a4%a4%e0%a4%bf%e0%a4%9c%e0%a4%be-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%95%e0%a4%be%e0%a4%b6%e0%a4%a8%e0%a4%95%e0%a5%8b-%e0%a4%b8%e0%a5%82%e0%a4%9a%e0%a4%a8%e0%a4%be/
"१७ जेष्ठ २०७९, मंगलवार १६:३३",लगत संकलन सम्बन्धि कार्यहरु पुन: सुचारू गरिएको सूचना,https://nlc.gov.np/%e0%a4%b2%e0%a4%97%e0%a4%a4-%e0%a4%b8%e0%a4%82%e0%a4%95%e0%a4%b2%e0%a4%a8-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7%e0%a4%bf-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%af/
"१२ जेष्ठ २०७९, बिहीबार १६:२४","जग्गाको स्वामित्व, दर्ता श्रेस्ता, फिल्डबुक प्रमाणित लगायतका विषयमा निवेदन दिने सम्बन्धी ३५ दिने सूचना",https://nlc.gov.np/%e0%a4%9c%e0%a4%97%e0%a5%8d%e0%a4%97%e0%a4%be%e0%a4%95%e0%a5%8b-%e0%a4%b8%e0%a5%8d%e0%a4%b5%e0%a4%be%e0%a4%ae%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%b5-%e0%a4%a6%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%be/
"९ बैशाख २०७९, शुक्रबार १६:१८",लगत सङ्कलन सम्बन्धी कार्यहरू स्थगित गरिएको सूचना,https://nlc.gov.np/%e0%a4%b2%e0%a4%97%e0%a4%a4-%e0%a4%b8%e0%a4%99%e0%a5%8d%e0%a4%95%e0%a4%b2%e0%a4%a8-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7%e0%a5%80-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d/
"२० चैत्र २०७८, आईतवार १५:३९",दोस्रो पटक प्रकाशित ३५ दिने सूचना,https://nlc.gov.np/%e0%a4%a6%e0%a5%8b%e0%a4%b8%e0%a5%8d%e0%a4%b0%e0%a5%8b-%e0%a4%aa%e0%a4%9f%e0%a4%95-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%95%e0%a4%be%e0%a4%b6%e0%a4%bf%e0%a4%a4-%e0%a5%a9%e0%a5%ab-%e0%a4%a6%e0%a4%bf/
"१७ चैत्र २०७८, बिहीबार १५:३८","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निबेदन दिने सम्बन्धी पैंतीस (३५) दिने सूचना",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95-3/
"१५ चैत्र २०७८, मंगलवार १५:३४",प्रमाणित हाजिरी विवरण पठाइदिने सम्बन्धमा ।,https://nlc.gov.np/%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%ae%e0%a4%be%e0%a4%a3%e0%a4%bf%e0%a4%a4-%e0%a4%b9%e0%a4%be%e0%a4%9c%e0%a4%bf%e0%a4%b0%e0%a5%80-%e0%a4%b5%e0%a4%bf%e0%a4%b5%e0%a4%b0%e0%a4%a3-%e0%a4%aa%e0%a4%a0/
"३ चैत्र २०७८, बिहीबार १५:३१",पद तथा गोपनीयताको शपथ,https://nlc.gov.np/%e0%a4%aa%e0%a4%a6-%e0%a4%a4%e0%a4%a5%e0%a4%be-%e0%a4%97%e0%a5%8b%e0%a4%aa%e0%a4%a8%e0%a5%80%e0%a4%af%e0%a4%a4%e0%a4%be%e0%a4%95%e0%a5%8b-%e0%a4%b6%e0%a4%aa%e0%a4%a5/
"३ चैत्र २०७८, बिहीबार १५:२६",अधिकार प्रत्यायोजन सम्बन्धमा ।,https://nlc.gov.np/%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%a4%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%af%e0%a5%8b%e0%a4%9c%e0%a4%a8-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8/
"२६ फाल्गुन २०७८, बिहीबार १५:२५","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निबेदन दिने सम्बन्धी पैंतीस (३५) दिने सूचना",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95-2/
"१८ माघ २०७८, मंगलवार १५:१०","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निबेदन दिने सम्बन्धी पैंतीस (३५) दिने सूचना",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95/
"२५ फाल्गुन २०७८, बुधबार १५:२१",सर्भेक्षक तथा अमिन करार भर्ना गर्ने सम्बन्धी सूचना,https://nlc.gov.np/%e0%a4%b8%e0%a4%b0%e0%a5%8d%e0%a4%ad%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%b7%e0%a4%95-%e0%a4%a4%e0%a4%a5%e0%a4%be-%e0%a4%85%e0%a4%ae%e0%a4%bf%e0%a4%a8-%e0%a4%95%e0%a4%b0%e0%a4%be%e0%a4%b0-%e0%a4%ad/
"१५ फाल्गुन २०७८, आईतवार १५:१७",राष्ट्रिय भूमि आयोगको अत्यन्त जरुरी सूचना,https://nlc.gov.np/%e0%a4%b0%e0%a4%be%e0%a4%b7%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a4%bf%e0%a4%af-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf-%e0%a4%86%e0%a4%af%e0%a5%8b%e0%a4%97%e0%a4%95%e0%a5%8b-%e0%a4%85%e0%a4%a4-2/
"१५ फाल्गुन २०७८, आईतवार १५:१५",मोटरसाइकल र स्कुटर खरिद सम्बन्धी सिलबन्दी प्रस्ताव आव्हानको सूचना,https://nlc.gov.np/%e0%a4%ae%e0%a5%8b%e0%a4%9f%e0%a4%b0%e0%a4%b8%e0%a4%be%e0%a4%87%e0%a4%95%e0%a4%b2-%e0%a4%b0-%e0%a4%b8%e0%a5%8d%e0%a4%95%e0%a5%81%e0%a4%9f%e0%a4%b0-%e0%a4%96%e0%a4%b0%e0%a4%bf%e0%a4%a6-%e0%a4%b8/
"५ माघ २०७८, बुधबार १५:१०",आवश्यक समन्वय सम्बन्धमा,https://nlc.gov.np/%e0%a4%86%e0%a4%b5%e0%a4%b6%e0%a5%8d%e0%a4%af%e0%a4%95-%e0%a4%b8%e0%a4%ae%e0%a4%a8%e0%a5%8d%e0%a4%b5%e0%a4%af-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7%e0%a4%ae%e0%a4%be/
"१२ पुष २०७८, सोमबार १४:५६",राष्ट्रिय भूमि आयोगको अत्यन्त जरुरी सूचना,https://nlc.gov.np/%e0%a4%b0%e0%a4%be%e0%a4%b7%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a4%bf%e0%a4%af-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf-%e0%a4%86%e0%a4%af%e0%a5%8b%e0%a4%97%e0%a4%95%e0%a5%8b-%e0%a4%85%e0%a4%a4/
"२१ मंसिर २०७८, मंगलवार ००:१८",स्थानीय तहलाई ताकेता पत्र,https://nlc.gov.np/%e0%a4%b8%e0%a5%8d%e0%a4%a5%e0%a4%be%e0%a4%a8%e0%a5%80%e0%a4%af-%e0%a4%a4%e0%a4%b9%e0%a4%b2%e0%a4%be%e0%a4%88-%e0%a4%a4%e0%a4%be%e0%a4%95%e0%a5%87%e0%a4%a4%e0%a4%be-%e0%a4%aa%e0%a4%a4%e0%a5%8d/
